component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
150	7.485630	7.141807	0.037676	0.095603	99.000000	0.000000	0.000000	0.000000	5346	0.000000	0.000000	825		ignored	I008
151	7.482928	7.699990	0.045585	0.108474	0.000000	116.000000	0.000000	0.000000	5324	0.000000	0.000000	987		rejected	I002
152	7.481445	7.801767	0.037066	0.096068	0.000000	0.000000	0.000000	0.000000	5385	0.000000	0.000000	1087		rejected	I002
153	7.481204	6.782715	0.039412	0.097743	48.000000	0.000000	0.000000	0.000000	5337	0.000000	0.000000	854		ignored	I008
154	7.479681	6.830616	0.040256	0.102646	0.000000	0.000000	0.000000	0.000000	5352	-2.385129	0.019976	1147		rejected	I005
155	7.475454	7.486273	0.041205	0.096880	82.000000	0.000000	0.000000	0.000000	5397	0.000000	0.000000	923		rejected	I002
156	7.475398	7.316257	0.040194	0.099859	68.000000	90.000000	0.000000	0.000000	5385	0.000000	0.000000	906		rejected	I003
157	7.474397	7.250521	0.039004	0.099233	0.000000	0.000000	0.000000	0.000000	5369	-3.135815	0.002920	1188		ignored	I008
158	7.473415	7.614785	0.041237	0.099501	0.000000	120.000000	0.000000	0.000000	5406	0.000000	0.000000	1116		rejected	I002
159	7.468690	6.902675	0.038958	0.096109	47.000000	0.000000	0.000000	0.000000	5391	0.000000	0.000000	950		ignored	I008
160	7.463246	6.955477	0.039702	0.102616	0.000000	0.000000	0.000000	0.000000	5353	0.000000	0.000000	1029		ignored	I008
161	7.459574	6.860058	0.045825	0.113661	0.000000	0.000000	0.000000	0.000000	5292	0.000000	0.000000	930		ignored	I008
162	7.456522	7.158031	0.038096	0.096110	71.000000	0.000000	0.000000	0.000000	5352	-2.576150	0.012412	975		ignored	I008
163	7.453974	7.093847	0.038894	0.096666	0.000000	0.000000	0.000000	0.000000	5381	0.000000	0.000000	1063		ignored	I008
164	7.446113	7.208630	0.038196	0.101974	0.000000	0.000000	0.000000	0.000000	5366	-0.460578	0.647239	1130		ignored	I008
165	7.445788	7.333182	0.042188	0.098874	169.000000	56.000000	0.000000	0.000000	5425	0.000000	0.000000	911		ignored	I008
166	7.445389	6.819708	0.037521	0.096193	0.000000	0.000000	0.000000	0.000000	5285	0.000000	0.000000	920		ignored	I008
167	7.444542	6.725169	0.037870	0.094153	0.000000	46.000000	0.000000	0.000000	5336	1.123347	0.265815	852		ignored	I008
168	7.444183	6.868267	0.036593	0.092218	0.000000	0.000000	0.000000	0.000000	5346	-0.941587	0.349482	1099		ignored	I008
169	7.443360	7.499302	0.036749	0.092955	0.000000	0.000000	0.000000	0.000000	5417	0.000000	0.000000	1111		rejected	I002
